mean_r,std_r,kur_r,skew_r,mean_g,std_g,kur_g,skew_g,mean_b,std_b,kur_b,skew_b,entropy_r,entropy_g,contrast_r,contrast_g,contrast_b,corr_rg,corr_rb,corr_gb,moment_r,moment_g,moment_b,label
108.9231,38.32570399,-0.457669262,0.459988932,112.5538,34.15790546,-0.387371367,0.492179132,112.3665,30.13413974,-0.372375887,0.473911303,9.148822499,9.164919653,9.174868867,202,183,168,0.993006158,0.99009305,0.973291695,1468.859586,1166.762506,1
134.3531,37.75907335,-1.002849887,0.083693802,134.2096,33.30356539,-0.816001275,0.012340405,132.4251,29.03438634,-0.514217189,-0.120562123,9.170022614,9.178821645,9.185556264,189,189,194,0.987953092,0.979880783,0.947956967,1425.74762,1109.127468,1
163.0362,28.91242794,0.820751304,0.659642457,163.6947,27.27452826,0.868779012,0.56937361,170.2642,25.70419418,0.97750522,0.518152643,9.194938193,9.196664946,9.199079181,183,178,170,0.991287924,0.989241947,0.966994819,835.9284896,743.8998919,1
116.333,25.88623401,0.810503664,1.081193327,116.4678,23.95298234,0.995498905,1.121582672,115.672,21.86642211,1.28391868,1.160440896,9.186952604,9.190338571,9.193407111,181,181,168,0.987619464,0.989333485,0.973410384,670.097111,573.7453632,0
124.0198,23.33671802,0.158969252,0.664068266,124.3059,22.6994609,0.205821061,0.686949864,123.0008,21.32179634,0.304927906,0.72229231,9.193078267,9.194100164,9.195723159,141,137,133,0.987785815,0.986670986,0.965542335,544.602408,515.2655252,0
122.8851,23.38879856,0.208258438,0.679113014,123.2686,22.63886159,0.271522134,0.696657269,121.9417,21.28206055,0.349756182,0.718906918,9.192695835,9.193920758,9.195519604,147,143,133,0.988291247,0.986890361,0.96602517,547.035898,512.518054,0
103.6868,32.19008707,0.723692062,0.02366296,107.083,30.86639777,1.005233906,-0.469135307,111.6499,30.35851989,1.241307105,-1.086142409,9.158532368,9.163522737,9.166532141,182,174,171,0.956834208,0.92254097,0.828616536,1036.201706,952.734511,0
112.1436,39.47650667,-0.481595557,0.832872271,112.3676,38.59779618,-0.413045327,0.868813564,112.6987,36.49323113,-0.347152497,0.896003734,9.151905036,9.154870832,9.161081378,189,188,178,0.996014827,0.995566899,0.990780307,1558.394579,1489.78987,0
140.8638,8.761235618,2.979388729,0.923521091,140.429,8.413593703,3.153881578,0.955672236,139.926,7.707666573,3.162428988,0.84905197,9.208436316,9.208573684,9.208842437,97,96,94,0.981045248,0.965251123,0.952195162,76.75924956,70.788559,0
88.5152,20.0433223,2.162986934,1.309757145,94.3277,19.82283816,2.200570739,1.362668529,101.532,19.43528688,2.15325185,1.349951692,9.186378748,9.189718313,9.193144683,148,143,141,0.973846482,0.984140809,0.96207407,401.734769,392.9449127,0
111.5156,28.74771916,0.743136235,0.701594903,110.8264,27.40682877,0.932661278,0.768291006,110.7653,24.54780674,1.375510303,0.901736425,9.177966502,9.180695517,9.186715101,194,190,184,0.993221357,0.988000786,0.977362554,826.4313566,751.134263,0
121.7362,33.58922163,-0.740774645,0.129865772,123.0343,31.63377504,-0.738311484,0.172615752,123.6377,29.20737644,-0.711240643,0.174249395,9.171589963,9.176936895,9.182218067,191,184,174,0.997324091,0.995940323,0.990834902,1128.23581,1000.695724,1
90.388,20.50562011,2.475842464,1.694761031,94.9856,18.32972429,2.786267473,1.754319901,98.1972,16.6648766,2.923403906,1.768935061,9.187031959,9.193324393,9.197068352,136,122,114,0.965383399,0.977544317,0.969570097,420.480456,335.9787926,0
141.7523,37.4787399,-0.061426032,-0.380082307,134.4969,37.0251994,-0.022166869,-0.361176897,127.6117,33.98053447,0.09407163,-0.346290905,9.172585052,9.169230459,9.172067109,221,224,217,0.990535693,0.992193201,0.975101687,1404.655945,1370.86539,1
128.8963,36.96336222,-0.445071568,0.573853338,127.3551,33.99690286,-0.283221422,0.603691458,126.7025,32.04811061,-0.046992631,0.584865876,9.170183574,9.17560319,9.179028134,196,186,191,0.992883599,0.99389321,0.981835335,1366.290146,1155.789404,1
131.1701,20.74758699,-0.028965183,-0.567567387,131.9537,20.47624371,-0.096586142,-0.601980863,133.1017,20.8039361,-0.151723316,-0.633366774,9.197276609,9.197763331,9.197558373,133,126,130,0.98777981,0.989695155,0.974355429,430.462366,419.2765563,0
142.0657,35.28798072,-0.509543211,-0.274762695,139.6344,33.56969968,-0.555237514,-0.223719837,136.6022,30.54499558,-0.576393216,-0.164263359,9.177820863,9.180117383,9.184462381,200,191,184,0.994772359,0.994639797,0.986971478,1245.241584,1126.924737,0
126.7575,34.37658642,-0.057815584,0.569565464,126.0606,32.37994329,0.090446269,0.618437387,126.3835,30.65706489,0.310886197,0.566332282,9.174219163,9.178074445,9.181370766,211,199,201,0.990159896,0.989906521,0.974167467,1181.749694,1048.460728,1
